iter	Passed	Remaining
420	1755	2414
421	1756	2406
422	1763	2405
423	1765	2397
424	1778	2406
425	1781	2400
426	1783	2393
427	1785	2386
428	1788	2380
429	1793	2377
430	1794	2369
431	1796	2361
432	1797	2354
433	1799	2346
434	1800	2338
435	1802	2331
436	1808	2330
437	1810	2323
438	1812	2315
439	1813	2308
440	1814	2300
441	1816	2293
442	1823	2292
443	1825	2285
444	1826	2277
445	1827	2270
446	1829	2262
447	1831	2256
448	1832	2248
449	1838	2247
450	1840	2240
451	1841	2232
452	1843	2226
453	1844	2218
454	1846	2211
455	1847	2204
456	1854	2203
457	1855	2196
458	1857	2189
459	1859	2182
460	1860	2175
461	1861	2168
462	1863	2161
463	1870	2161
464	1872	2154
465	1873	2146
466	1874	2139
467	1876	2133
468	1877	2126
469	1879	2119
470	1886	2118
471	1890	2114
472	1892	2108
473	1894	2101
474	1901	2101
475	1903	2095
476	1904	2088
477	1906	2081
478	1907	2075
479	1909	2068
480	1910	2061
481	1913	2056
482	1914	2049
483	1916	2042
484	1922	2041
485	1924	2035
486	1926	2029
487	1927	2022
488	1929	2015
489	1930	2009
490	1935	2005
491	1938	2001
492	1939	1994
493	1941	1988
494	1942	1981
495	1944	1975
496	1945	1969
497	1947	1963
498	1949	1956
499	1950	1950
500	1952	1944
501	1953	1938
502	1955	1931
503	1956	1925
504	1963	1924
505	1967	1920
506	1968	1914
507	1973	1911
508	1976	1906
509	1977	1900
510	1979	1894
511	1981	1888
512	1982	1882
513	1984	1876
514	1991	1875
515	1992	1868
516	1994	1863
517	1995	1857
518	1997	1851
519	1998	1844
520	2004	1843
521	2006	1837
522	2008	1831
523	2009	1825
524	2011	1819
525	2012	1813
526	2014	1808
527	2021	1806
528	2022	1801
529	2024	1795
530	2025	1789
531	2027	1783
532	2029	1777
533	2030	1772
534	2037	1771
535	2039	1765
536	2041	1759
537	2042	1754
538	2043	1748
539	2054	1750
540	2056	1745
541	2060	1741
542	2062	1735
543	2070	1735
544	2072	1729
545	2074	1724
546	2075	1718
547	2076	1713
548	2084	1712
549	2086	1706
550	2087	1701
551	2089	1695
552	2090	1689
553	2092	1684
554	2093	1678
555	2096	1674
556	2097	1668
557	2099	1662
558	2100	1657
559	2102	1651
560	2103	1646
561	2105	1640
562	2108	1636
563	2109	1631
564	2111	1625
565	2113	1620
566	2114	1614
567	2116	1609
568	2122	1607
569	2124	1602
570	2126	1597
571	2127	1591
572	2131	1588
573	2148	1594
574	2155	1593
575	2157	1588
576	2158	1582
577	2160	1577
578	2161	1571
579	2163	1566
580	2167	1563
581	2169	1558
582	2171	1553
583	2172	1547
584	2174	1542
585	2176	1537
586	2177	1532
587	2184	1530
588	2185	1525
589	2187	1520
590	2189	1515
591	2190	1509
592	2192	1504
593	2193	1499
594	2200	1497
595	2202	1492
596	2203	1487
597	2205	1482
598	2206	1477
599	2207	1471
600	2209	1466
601	2216	1465
602	2218	1460
603	2225	1459
604	2228	1455
605	2230	1450
606	2232	1445
607	2240	1444
608	2242	1439
609	2243	1434
610	2245	1429
611	2246	1424
612	2256	1424
613	2258	1419
614	2259	1414
615	2261	1409
616	2262	1404
617	2264	1399
618	2265	1394
619	2272	1392
620	2273	1387
621	2275	1382
622	2276	1377
623	2278	1372
624	2279	1367
625	2281	1363
626	2288	1361
627	2290	1357
628	2292	1352
629	2296	1348
630	2303	1347
631	2305	1342
632	2307	1337
633	2309	1333
634	2310	1328
635	2312	1323
636	2318	1321
637	2320	1316
638	2322	1311
639	2323	1307
640	2324	1302
641	2326	1297
642	2330	1294
643	2334	1290
644	2336	1286
645	2339	1282
646	2341	1277
647	2348	1275
648	2350	1271
649	2352	1266
650	2353	1261
651	2355	1257
652	2356	1252
653	2363	1250
654	2365	1245
655	2366	1241
656	2368	1236
657	2369	1231
658	2370	1226
659	2372	1222
660	2379	1220
661	2380	1215
662	2382	1210
663	2383	1206
664	2385	1201
665	2386	1197
666	2388	1192
667	2394	1190
668	2396	1185
669	2398	1181
670	2399	1176
671	2401	1171
672	2402	1167
673	2404	1162
674	2406	1158
675	2408	1154
676	2409	1149
677	2411	1145
678	2413	1140
679	2414	1136
680	2421	1134
681	2423	1130
682	2426	1126
683	2428	1122
684	2430	1117
685	2437	1115
686	2439	1111
687	2440	1106
688	2442	1102
689	2443	1097
690	2445	1093
691	2451	1091
692	2453	1086
693	2454	1082
694	2456	1077
695	2457	1073
696	2459	1069
697	2460	1064
698	2461	1060
699	2468	1057
700	2470	1053
701	2471	1049
702	2473	1044
703	2474	1040
704	2476	1036
705	2484	1034
706	2485	1030
707	2487	1025
708	2488	1021
709	2490	1017
710	2491	1012
711	2496	1009
712	2498	1005
713	2499	1001
714	2501	996
715	2502	992
716	2504	988
717	2505	984
718	2512	982
719	2516	978
720	2518	974
721	2521	970
722	2528	968
723	2529	964
724	2531	960
725	2532	955
726	2534	951
727	2535	947
728	2537	943
729	2544	940
730	2545	936
731	2547	932
732	2548	928
733	2550	924
734	2551	919
735	2553	915
736	2559	913
737	2561	909
738	2562	905
739	2564	900
740	2565	896
741	2567	892
742	2573	890
743	2575	886
744	2576	882
745	2578	877
746	2579	873
747	2581	869
748	2582	865
749	2584	861
750	2586	857
751	2587	853
752	2589	849
753	2590	845
754	2592	841
755	2593	837
756	2599	834
757	2601	830
758	2603	826
759	2604	822
760	2606	818
761	2608	814
762	2609	810
763	2616	808
764	2619	804
765	2622	801
766	2624	797
767	2626	793
768	2627	789
769	2629	785
770	2630	781
771	2632	777
772	2634	773
773	2640	771
774	2642	767
775	2643	763
776	2645	759
777	2646	755
778	2648	751
779	2649	747
780	2656	744
781	2657	740
782	2659	737
783	2661	733
784	2663	729
785	2664	725
786	2665	721
787	2672	719
788	2674	715
789	2675	711
790	2677	707
791	2678	703
792	2680	699
793	2684	696
794	2686	692
795	2687	688
796	2689	684
797	2690	681
798	2692	677
799	2693	673
800	2695	669
801	2702	667
802	2705	663
803	2707	660
804	2709	656
805	2717	654
806	2718	650
807	2720	646
808	2721	642
809	2723	638
810	2724	635
811	2726	631
812	2728	627
813	2729	623
814	2731	619
815	2733	616
816	2734	612
817	2735	608
818	2737	604
819	2739	601
820	2741	597
821	2742	593
822	2743	590
823	2745	586
824	2747	582
825	2753	580
826	2755	576
827	2756	572
828	2758	568
829	2760	565
830	2761	561
831	2763	557
832	2770	555
833	2771	551
834	2773	548
835	2774	544
836	2776	540
837	2777	536
838	2784	534
839	2785	530
840	2787	526
841	2788	523
842	2790	519
843	2791	515
844	2793	512
845	2800	509
846	2802	506
847	2805	502
848	2807	499
849	2814	496
850	2816	493
851	2817	489
852	2819	485
853	2820	482
854	2822	478
855	2824	475
856	2830	472
857	2832	468
858	2833	465
859	2835	461
860	2836	457
861	2838	454
862	2839	450
863	2846	448
864	2848	444
865	2849	440
866	2851	437
867	2852	433
868	2854	430
869	2855	426
870	2862	423
871	2863	420
872	2865	416
873	2866	413
874	2868	409
875	2869	406
876	2874	403
877	2876	399
878	2878	396
879	2879	392
880	2881	389
881	2882	385
882	2884	382
883	2890	379
884	2892	375
885	2896	372
886	2898	369
887	2901	365
888	2903	362
889	2905	359
890	2906	355
891	2908	352
892	2909	348
893	2911	345
894	2918	342
895	2919	338
896	2921	335
897	2922	332
898	2925	328
899	2926	325
900	2936	322
901	2938	319
902	2940	315
903	2941	312
904	2943	308
905	2952	306
906	2954	302
907	2957	299
908	2958	296
909	2966	293
